location,address,city,zip_code,lat,lon,category,state,info
LaSalle Street,,,,35.26298,-80.8547,Gold,,
Russell Av,,,,35.25703,-80.85558,Gold,,
Booker Avenue/Oaklawn,,,,35.2538,-80.85597,Gold,,
French Street,,,,35.24685,-80.85679,Gold,,
Johnson C. Smith University,,,,35.24173,-80.85869,Gold,,
Bruns Avenue,,,,35.24026,-80.85843,Gold,,
Wesley Heights Way,,,,35.2371,-80.85866,Gold,,
Johnson & Wales,,,,35.2338,-80.85113,Gold,,
Charlotte Gateway Station,,,,35.23131,-80.84773,Gold,,
Mint Street,,,,35.22942,-80.84566,Gold,,
Tryon Street,,,,35.2272,-80.84307,Gold,,
Hawthorne and 5th,,,,35.23285,-80.81108,Gold,,
Veterans Park,,,,35.21974,-80.80409,Gold,,
Morningside Drive,,,,35.2193,-80.79923,Gold,,
Arnold Drive,,,,35.21796,-80.7944,Gold,,
Briar Creek Road,,,,35.21695,-80.79093,Gold,,
Eastway Drive,,,,35.21553,-80.78065,Gold,,
Sheridan Drive,,,,35.21448,-80.77286,Gold,,
Derby Acres,,,,35.21374,-80.77026,Gold,,
Landsdale Dr/Rosehaven Dr,,,,35.21247,-80.76433,Gold,,
Winterfield Place,,,,35.21082,-80.75911,Gold,,
Eastland Mall,,,,35.19299,-80.76105,Gold,,
Elizabeth and Hawthorne,,,,35.2129,-80.82559,Gold,,
Eastway Crossing,,,,35.21591,-80.78447,Gold,,
Barnhardt,,,,35.22132,-80.81854,Gold,,
Rosa Parks Place,,,,35.2732,-80.85441,Gold,,
Montana Dr,,,,35.26828,-80.854,Gold,,
CTC/Arena,,,,35.22545,-80.84074,Gold,,
Davidson St,,,,35.2229,-80.83801,Gold,,
Central Piedmont Community College,,,,35.20272,-80.82971,Gold,,
McDowell Street,,,,35.22122,-80.83608,Gold,,
Hawthorne and 8th,,,,35.23285,-80.81108,Gold,,
The Plaza,,,,35.22026,-80.8108,Gold,,
Sunnyside,,,,35.21981,-80.81881,Gold,,
Irwin Avenue,,,,35.23477,-80.85246,Gold,,
Carson,218 E. Carson Bv,,28203,35.2189047,-80.8518354,Blue,,
Charlotte Transportation Center/Arena,303 E. Trade St,,28202,35.22551,-80.8408697,Blue,,
I-485/South Blvd,9508 South Bv,,28273,35.1068785,-80.8822372,Blue,,
Sharon Road West,8815 Crump Rd,,28134,35.119992,-80.882237,Blue,,
Arrowood,7717 England St,,28273,35.134202,-80.876641,Blue,,
Archdale,6230 South Bv,,28217,35.15068,-80.876791,Blue,,
Tyvola,5703 Old Pineville Rd,,28217,35.1621374,-80.8778377,Blue,,
Woodlawn,4756 Old Pineville Rd,,28217,35.1762003,-80.8792882,Blue,,
Scaleybark,3750 South Bv,,28209,35.192032,-80.875522,Blue,,
New Bern,129 New Bern St,,28203,35.199771,-80.868959,Blue,,
East/West,1821 Camden St,,28203,35.2124302,-80.8588616,Blue,,
Bland St,1511 Camden Rd,,28203,35.2156759,-80.8553325,Blue,,
3rd St/Convention Center,305 E. 3rd St,,28202,35.222255,-80.8454297,Blue,,
7th St,260 E. 7th St,,28202,35.227316,-80.838126,Blue,,
Stonewall,260 E. Stonewall St,,28202,35.2212868,-80.8469943,Blue,,
9th Street,239 E 9th St,,28202,35.229536,-80.835229,Blue,,
Parkwood,401 Parkwood Ave,,28206,35.236962,-80.823927,Blue,,
25th Street,2215 N Brevard St,,28206,35.2412926,-80.8173566,Blue,,
36th Street,400 E 36th St,,28206,35.2493225,-80.806048,Blue,,
Tom Hunter,6501 N Tryon St,,28213,35.2777079,-80.766727,Blue,,
JW Clay Blvd,9101 N Tryon St,,28262,35.309976,-80.7462621,Blue,,
Old Concord Rd,5600 Old Concord Rd,,28213,35.2620859,-80.772476,Blue,,
Sugar Creek,700 E Sugar Creek Rd,,28205,35.2516738,-80.7912187,Blue,,
UNC Charlotte,9025 Cameron Blvd,,28262,35.3117307,-80.7337632,Blue,,
University City Blvd,7201 N Tryon St,,28262,35.2867468,-80.7611487,Blue,,
McCullough,8315 N Tryon St,,28262,35.3007092,-80.7534531,Blue,,
Third Ward / McNinch St,,,,35.22903501,-80.85607994,Silver,,
Ashley Rd,,,,35.2242649,-80.89012956,Silver,,
Airport,,,,35.23548999,-80.94358811,Silver,,
West Morehead St / Suttle Ave,,,,35.22325991,-80.87230828,Silver,,
Belmont,,,,35.25133432,-81.02651348,Silver,,
Matthews Sportsplex,,,,35.1120937,-80.70513449,Silver,,
Sam Wilson,,,,35.24167941,-80.98263006,Silver,,
Coliseum / Ovens,,,,35.20371608,-80.79608098,Silver,,
Fourth Ward / Graham St,,,,35.23532754,-80.84189885,Silver,,
Matthews Township Parkway,,,,35.12634967,-80.72825131,Silver,,
Charlotte Gateway Station,,,,35.23098566,-80.84843092,Silver,,
Village Lake Dr,,,,35.15804741,-80.74870265,Silver,,
Stafford Dr,,,,35.23366993,-80.9319175,Silver,,
Pecan Ave,,,,35.21807332,-80.81479933,Silver,,
Central Ave,,,,35.22087677,-80.82631392,Silver,,
Conference Dr,,,,35.18179773,-80.75569473,Silver,,
CPCC Levine,,,,35.10332384,-80.69742148,Silver,,
Morningside Dr,,,,35.21328262,-80.80343634,Silver,,
Sardis Rd / Galleria,,,,35.13641361,-80.73775368,Silver,,
Matthews Downtown / Hospital,,,,35.11950578,-80.71641363,Silver,,
Remont Rd,,,,35.22401776,-80.88321106,Silver,,
Wesley Heights / Summit Ave,,,,35.22693341,-80.86484601,Silver,,
Morris Field Dr,,,,35.22682311,-80.91124593,Silver,,
Sharon Amity Rd,,,,35.19365496,-80.76628392,Silver,,
Amity Gardens,,,,35.20097447,-80.77928479,Silver,,
I-485,,,,35.2390923,-80.96564316,Silver,,
First Ward / Blue Line,,,,35.23080459,-80.83347308,Silver,,
Charlotte Gateway Station,"West Trade Street Charlotte, North Carolina",,28202,35.23131,-80.84773,Red,,1
Derita,"Derita Rd, Charlotte NC",,28269,35.3011,-80.80568,Red,,2
Harris,"W.T Harris Blvd, Charlotte NC",,28269,35.33518,-80.82504,Red,,3
Eastfield,"Arthur Davis Rd, Charlotte NC",,28269,35.35358,-80.82208,Red,,4
Hambright,"Hambright Rd, Huntersville NC",,28078,35.37755,-80.83361,Red,,5
Huntersville,Huntersville North Carolina,,28078,35.41094,-80.84099,Red,,6
Sam Furr,"Sam Furr Rd, Huntersville, NC",,28078,35.44984,-80.8434,Red,,7
Cornelius,"Cornelius, NC",,28031,35.4812,-80.85783,Red,,8
Davidson,"Davidson, NC",,28035,35.50061,-80.8498,Red,,9
Mount Mourne,"Mecklenburg, Hwy, Davidson NC",,28117,35.54767,-80.84895,Red,,10